# primitive_MRO = (<class 'qiskit_aer.primitives.sampler_v2.SamplerV2'>, <class 'qiskit.primitives.base.base_sampler.BaseSamplerV2'>, <class 'abc.ABC'>, <class 'object'>)
# num_shots = 10000
# encoding_layer_config = {'n_layers': 1, 'initial_layer': 'ry', 'entangling_layer': 'rzz', 'n_atom_to_qubit': 1, 'interleaved': None}
# noise_model_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_noise_model.pkl
# backend_target_path = /Users/dilhan.manawadu/Projects/quantum-molecular-encodings/data/fig4/../../data/backends/ibm_pittsburgh_2025-08-10T18:59:40+00:00_target.pkl
# sampler_type = noisy_aer
# i, j, expectation-value
23, 10, 0.3499
23, 11, 0.2629
23, 12, 0.0294
23, 13, 0.0127
23, 14, 0.0393
23, 15, 0.0276
23, 16, 0.0181
23, 17, 0.0812
23, 18, 0.022
23, 19, 0.009
23, 20, 0.0258
23, 21, 0.014
23, 22, 0.0064
23, 23, 0.9567
24, 0, 0.0815
24, 1, 0.114
24, 2, 0.2346
24, 3, 0.0724
24, 4, 0.0895
24, 5, 0.1458
24, 6, 0.0799
24, 7, 0.0578
24, 8, 0.0389
24, 9, 0.0261
24, 10, 0.0932
24, 11, 0.3421
24, 12, 0.2557
24, 13, 0.0328
24, 14, 0.0144
24, 15, 0.035
24, 16, 0.0285
24, 17, 0.2505
24, 18, 0.081
24, 19, 0.0209
24, 20, 0.0111
24, 21, 0.0504
24, 22, 0.0144
24, 23, 0.1487
24, 24, 0.9324
25, 0, 0.058
25, 1, 0.0761
25, 2, 0.1131
25, 3, 0.2344
25, 4, 0.0783
25, 5, 0.087
25, 6, 0.1418
25, 7, 0.0785
25, 8, 0.0558
25, 9, 0.0363
25, 10, 0.0606
25, 11, 0.0925
25, 12, 0.3447
25, 13, 0.2641
25, 14, 0.029
25, 15, 0.013
25, 16, 0.0343
25, 17, 0.1318
25, 18, 0.2435
25, 19, 0.0765
25, 20, 0.0198
25, 21, 0.0914
25, 22, 0.0523
25, 23, 0.033
25, 24, 0.1418
25, 25, 0.9203
26, 0, 0.0372
26, 1, 0.0529
26, 2, 0.0817
26, 3, 0.1115
26, 4, 0.2204
26, 5, 0.0776
26, 6, 0.0864
26, 7, 0.1414
26, 8, 0.0838
26, 9, 0.0564
26, 10, 0.0309
26, 11, 0.0646
26, 12, 0.0889
26, 13, 0.3318
26, 14, 0.2444
26, 15, 0.0319
26, 16, 0.0124
26, 17, 0.0249
26, 18, 0.1281
26, 19, 0.253
26, 20, 0.0798
26, 21, 0.1691
26, 22, 0.0801
26, 23, 0.0251
26, 24, 0.0314
26, 25, 0.1341
26, 26, 0.9265
27, 0, 0.0775
27, 1, 0.0347
27, 2, 0.1641
27, 3, 0.024
27, 4, 0.0897
27, 5, 0.0717
27, 6, 0.0249
27, 7, 0.0166
27, 8, 0.0119
27, 9, 0.008
27, 10, 0.0794
27, 11, 0.0276
27, 12, 0.2563
27, 13, 0.0251
27, 14, 0.0041
27, 15, 0.01
27, 16, 0.0086
27, 17, 0.0042
27, 18, 0.094
27, 19, 0.0181
27, 20, 0.0038
27, 21, 0.0597
27, 22, 0.012
27, 23, 0.0864
27, 24, 0.1443
27, 25, 0.0901
27, 26, 0.0239
27, 27, 0.9025
28, 0, 0.0546
28, 1, 0.0777
28, 2, 0.0319
28, 3, 0.1595
28, 4, 0.0218
28, 5, 0.0968
28, 6, 0.0669
28, 7, 0.0267
28, 8, 0.0168
28, 9, 0.0129
28, 10, 0.0436
28, 11, 0.075
28, 12, 0.028
28, 13, 0.253
28, 14, 0.0231
28, 15, 0.0066
28, 16, 0.0108
28, 17, 0.3277
28, 18, 0.0067
28, 19, 0.0884
28, 20, 0.0173
28, 21, 0.0098
28, 22, 0.0607
28, 23, 0.007
28, 24, 0.0867
28, 25, 0.1415
28, 26, 0.0896
28, 27, 0.0102
28, 28, 0.9336
29, 0, 0.0376
29, 1, 0.0536
29, 2, 0.0804
29, 3, 0.0367
29, 4, 0.1512
29, 5, 0.0223
29, 6, 0.0878
29, 7, 0.0642
29, 8, 0.023
29, 9, 0.0173
29, 10, 0.0116
29, 11, 0.0401
29, 12, 0.0703
29, 13, 0.0293
29, 14, 0.2468
29, 15, 0.0241
29, 16, 0.0064
29, 17, 0.023
29, 18, 0.344
29, 19, 0.0042
29, 20, 0.0888
29, 21, 0.2539
29, 22, 0.0076
29, 23, 0.0121
29, 24, 0.0074
29, 25, 0.0808
29, 26, 0.1372
29, 27, 0.021
29, 28, 0.0112
29, 29, 0.8557
30, 0, 0.0535
30, 1, 0.0276
30, 2, 0.1115
30, 3, 0.0446
30, 4, 0.0242
30, 5, 0.0912
30, 6, 0.066
30, 7, 0.0275
30, 8, 0.0196
30, 9, 0.0123
30, 10, 0.1667
30, 11, 0.0158
30, 12, 0.0231
30, 13, 0.2484
30, 14, 0.0227
30, 15, 0.0071
30, 16, 0.0108
30, 17, 0.0837
30, 18, 0.0387
30, 19, 0.0862
30, 20, 0.0153
30, 21, 0.0228
30, 22, 0.0527
30, 23, 0.023
30, 24, 0.0679
30, 25, 0.0664
30, 26, 0.0902
30, 27, 0.0848
30, 28, 0.1474
30, 29, 0.0079
30, 30, 0.9372
31, 0, 0.0376
31, 1, 0.0542
31, 2, 0.0244
31, 3, 0.1122
31, 4, 0.0456
31, 5, 0.021
31, 6, 0.0932
31, 7, 0.0639
31, 8, 0.021
31, 9, 0.0153
31, 10, 0.0302
31, 11, 0.1569
31, 12, 0.0118
31, 13, 0.0236
31, 14, 0.2452
31, 15, 0.0205
31, 16, 0.0047
31, 17, 0.0711
31, 18, 0.0837
31, 19, 0.0385
31, 20, 0.0903
31, 21, 0.0454
31, 22, 0.0206
31, 23, 0.0403
31, 24, 0.0232
31, 25, 0.0667
31, 26, 0.067
31, 27, 0.0046
31, 28, 0.0884
31, 29, 0.1363
31, 30, 0.0144
31, 31, 0.9225
32, 0, 0.0353
32, 1, 0.0163
32, 2, 0.078
32, 3, 0.0249
32, 4, 0.0412
32, 5, 0.0201
32, 6, 0.0895
32, 7, 0.0657
32, 8, 0.022
32, 9, 0.0182
32, 10, 0.1132
32, 11, 0.0404
32, 12, 0.0056
32, 13, 0.0218
32, 14, 0.2432
32, 15, 0.0237
32, 16, 0.0048
32, 17, 0.0114
32, 18, 0.0237
32, 19, 0.0363
32, 20, 0.0865
32, 21, 0.0193
32, 22, 0.0239
32, 23, 0.043
32, 24, 0.0315
32, 25, 0.0072
32, 26, 0.0638
32, 27, 0.0214
32, 28, 0.0144
32, 29, 0.0669
32, 30, 0.0917
32, 31, 0.1435
32, 32, 0.9058
33, 0, 0.0518
33, 1, 0.0741
33, 2, 0.1506
33, 3, 0.053
33, 4, 0.0638
33, 5, 0.034
33, 6, 0.131
33, 7, 0.0529
33, 8, 0.0327
33, 9, 0.0234
33, 10, 0.0657
33, 11, 0.2292
33, 12, 0.0807
33, 13, 0.0056
33, 14, 0.0823
33, 15, 0.013
33, 16, 0.0227
33, 17, 0.0901
33, 18, 0.2476
33, 19, 0.004
33, 20, 0.0574
33, 21, 0.0831
33, 22, 0.0037
33, 23, 0.0898
33, 24, 0.3302
33, 25, 0.0931
33, 26, 0.0178
33, 27, 0.0337
33, 28, 0.1435
33, 29, 0.0797
33, 30, 0.0512
33, 31, 0.0896
33, 32, 0.0976
33, 33, 0.8952
34, 0, 0.0332
34, 1, 0.0512
34, 2, 0.0799
34, 3, 0.1565
34, 4, 0.051
34, 5, 0.0538
34, 6, 0.0296
34, 7, 0.1277
34, 8, 0.0507
34, 9, 0.0375
34, 10, 0.0468
34, 11, 0.061
34, 12, 0.2323
34, 13, 0.0753
34, 14, 0.0034
34, 15, 0.0796
34, 16, 0.0118
34, 17, 0.0852
34, 18, 0.0924
34, 19, 0.2411
34, 20, 0.0037
34, 21, 0.2356
34, 22, 0.0886
34, 23, 0.0212
34, 24, 0.0945
34, 25, 0.3193
34, 26, 0.0931
34, 27, 0.0625
34, 28, 0.0336
34, 29, 0.1329
34, 30, 0.0208
34, 31, 0.052
34, 32, 0.0012
34, 33, 0.0207
34, 34, 0.8822
35, 0, 0.0391
35, 1, 0.0509
35, 2, 0.0275
35, 3, 0.1117
35, 4, 0.0154
35, 5, 0.0621
35, 6, 0.0246
35, 7, 0.0717
35, 8, 0.0258
35, 9, 0.0163
35, 10, 0.0286
35, 11, 0.0459
35, 12, 0.0166
35, 13, 0.0862
35, 14, 0.0382
35, 15, 0.0263
35, 16, 0.0043
35, 17, 0.2238
35, 18, 0.0034
35, 19, 0.2401
35, 20, 0.0064
35, 21, 0.0045
35, 22, 0.0874
35, 23, 0.0045
35, 24, 0.059
35, 25, 0.0674
35, 26, 0.0692
35, 27, 0.006
35, 28, 0.3235
35, 29, 0.0344
35, 30, 0.0488
35, 31, 0.1305
35, 32, 0.017
35, 33, 0.0298
35, 34, 0.1403
35, 35, 0.9159
36, 0, 0.0549
36, 1, 0.0257
36, 2, 0.116
36, 3, 0.0604
36, 4, 0.021
36, 5, 0.0244
36, 6, 0.0395
36, 7, 0.0219
36, 8, 0.0136
36, 9, 0.0108
36, 10, 0.2273
36, 11, 0.0297
36, 12, 0.0931
36, 13, 0.0692
36, 14, 0.0078
36, 15, 0.0045
36, 16, 0.0111
36, 17, 0.0156
36, 18, 0.0657
36, 19, 0.0184
36, 20, 0.0051
36, 21, 0.0231
36, 22, 0.0146
36, 23, 0.0919
36, 24, 0.0631
36, 25, 0.2409
36, 26, 0.0386
36, 27, 0.3465
36, 28, 0.0095
36, 29, 0.0255
36, 30, 0.2499
36, 31, 0.0154
36, 32, 0.0296
36, 33, 0.0557
36, 34, 0.0801
36, 35, 0.005
36, 36, 0.918
37, 0, 0.0368
37, 1, 0.0535
37, 2, 0.026
37, 3, 0.1114
37, 4, 0.0604
37, 5, 0.0221
37, 6, 0.0235
37, 7, 0.0344
37, 8, 0.0213
37, 9, 0.0162
37, 10, 0.0257
37, 11, 0.2143
37, 12, 0.029
37, 13, 0.0936
37, 14, 0.0684
37, 15, 0.008
37, 16, 0.0045
37, 17, 0.0712
37, 18, 0.016
37, 19, 0.0658
37, 20, 0.0199
37, 21, 0.047
37, 22, 0.026
37, 23, 0.055
37, 24, 0.0832
37, 25, 0.0629
37, 26, 0.2393
37, 27, 0.0137
37, 28, 0.324
37, 29, 0.0074
37, 30, 0.0315
37, 31, 0.2457
37, 32, 0.0408
37, 33, 0.1324
37, 34, 0.057
37, 35, 0.2419
37, 36, 0.0205
37, 37, 0.8424
38, 0, 0.0367
38, 1, 0.0149
38, 2, 0.0812
38, 3, 0.0312
38, 4, 0.0601
38, 5, 0.0205
38, 6, 0.0227
38, 7, 0.036
38, 8, 0.0197
38, 9, 0.0146
38, 10, 0.1061
38, 11, 0.0246
38, 12, 0.0243
38, 13, 0.0898
38, 14, 0.0654
38, 15, 0.0084
38, 16, 0.003
38, 17, 0.0147
38, 18, 0.0335
38, 19, 0.0655
38, 20, 0.0193
38, 21, 0.0462
38, 22, 0.0233
38, 23, 0.0618
38, 24, 0.0378
38, 25, 0.0386
38, 26, 0.2471
38, 27, 0.0876
38, 28, 0.0789
38, 29, 0.0366
38, 30, 0.3384
38, 31, 0.039
38, 32, 0.2447
38, 33, 0.0422
38, 34, 0.0257
38, 35, 0.0441
38, 36, 0.1408
38, 37, 0.1381
38, 38, 0.9093
39, 0, 0.037
39, 1, 0.0544
39, 2, 0.1108
39, 3, 0.0352
39, 4, 0.0404
39, 5, 0.0212
39, 6, 0.0319
39, 7, 0.03
39, 8, 0.015
39, 9, 0.0082
39, 10, 0.0426
39, 11, 0.1549
39, 12, 0.0055
39, 13, 0.0104
39, 14, 0.134
39, 15, 0.0164
39, 16, 0.001
39, 17, 0.022
39, 18, 0.0764
39, 19, 0.0331
39, 20, 0.0524
39, 21, 0.0546
39, 22, 0.0309
39, 23, 0.0688
39, 24, 0.0725
39, 25, 0.0315
39, 26, 0.0125
39, 27, 0.0173
39, 28, 0.0321
39, 29, 0.2325
39, 30, 0.0298
39, 31, 0.2492
39, 32, 0.1632
39, 33, 0.3233
39, 34, 0.0402
39, 35, 0.004
39, 36, 0.0305
39, 37, 0.1362
39, 38, 0.0651
39, 39, 0.848
40, 0, 0.0383
40, 1, 0.0194
40, 2, 0.0739
40, 3, 0.0113
40, 4, 0.0443
40, 5, 0.0077
40, 6, 0.0238
40, 7, 0.0198
40, 8, 0.006
40, 9, 0.0042
40, 10, 0.0349
40, 11, 0.017
40, 12, 0.0188
40, 13, 0.0096
40, 14, 0.0615
40, 15, 0.006
40, 16, 0.0011
40, 17, 0.0068
40, 18, 0.0875
40, 19, 0.0017
40, 20, 0.0225
40, 21, 0.061
40, 22, 0.0029
40, 23, 0.0392
40, 24, 0.0123
40, 25, 0.0246
40, 26, 0.0379
40, 27, 0.072
40, 28, 0.0113
40, 29, 0.2432
40, 30, 0.0304
40, 31, 0.0035
40, 32, 0.242
40, 33, 0.0711
40, 34, 0.0365
40, 35, 0.0156
40, 36, 0.0822
40, 37, 0.0193
40, 38, 0.1437
40, 39, 0.139
40, 40, 0.9234
41, 0, 0.0378
41, 1, 0.0724
41, 2, 0.0234
41, 3, 0.0267
41, 4, 0.0463
41, 5, 0.0229
41, 6, 0.0126
41, 7, 0.0281
41, 8, 0.0219
41, 9, 0.0118
41, 10, 0.1123
41, 11, 0.059
41, 12, 0.0124
41, 13, 0.0323
41, 14, 0.0399
41, 15, 0.0085
41, 16, 0.004
41, 17, 0.0068
41, 18, 0.0221
41, 19, 0.0322
41, 20, 0.0145
41, 21, 0.0234
41, 22, 0.0125
41, 23, 0.2209
41, 24, 0.0384
41, 25, 0.0153
41, 26, 0.1339
41, 27, 0.0324
41, 28, 0.0737
41, 29, 0.0193
41, 30, 0.0925
41, 31, 0.0553
41, 32, 0.0619
41, 33, 0.0436
41, 34, 0.0076
41, 35, 0.0508
41, 36, 0.0615
41, 37, 0.2495
41, 38, 0.2409
41, 39, 0.0568
41, 40, 0.0095
41, 41, 0.9163
42, 0, 0.027
42, 1, 0.0372
42, 2, 0.075
42, 3, 0.0238
42, 4, 0.0305
42, 5, 0.0401
42, 6, 0.0236
42, 7, 0.0141
42, 8, 0.0259
42, 9, 0.0186
42, 10, 0.0294
42, 11, 0.1106
42, 12, 0.0516
42, 13, 0.0132
42, 14, 0.031
42, 15, 0.0434
42, 16, 0.0097
42, 17, 0.0593
42, 18, 0.0086
42, 19, 0.019
42, 20, 0.0316
42, 21, 0.0106
42, 22, 0.0217
42, 23, 0.0464
42, 24, 0.2153
42, 25, 0.0381
42, 26, 0.0156
42, 27, 0.0428
42, 28, 0.0313
42, 29, 0.0711
42, 30, 0.0348
42, 31, 0.0849
42, 32, 0.0556
42, 33, 0.068
42, 34, 0.0476
42, 35, 0.0161
42, 36, 0.0281
42, 37, 0.0569
42, 38, 0.0389
42, 39, 0.3045
42, 40, 0.0352
42, 41, 0.0178
42, 42, 0.8191
43, 0, 0.0176
43, 1, 0.0253
43, 2, 0.035
43, 3, 0.0736
43, 4, 0.0253
43, 5, 0.028
43, 6, 0.0465
43, 7, 0.0237
43, 8, 0.0132
43, 9, 0.0258
43, 10, 0.0227
43, 11, 0.0267
43, 12, 0.1044
43, 13, 0.0538
43, 14, 0.0143
43, 15, 0.0306
43, 16, 0.0342
43, 17, 0.042
43, 18, 0.0566
43, 19, 0.0085
43, 20, 0.0188
43, 21, 0.0211
43, 22, 0.0119
43, 23, 0.01
43, 24, 0.0458
43, 25, 0.2101
43, 26, 0.0348
43, 27, 0.03
43, 28, 0.0384
43, 29, 0.027
43, 30, 0.0165
43, 31, 0.0334
43, 32, 0.0061
43, 33, 0.037
43, 34, 0.072
43, 35, 0.0186
43, 36, 0.0553
43, 37, 0.0276
43, 38, 0.0111
43, 39, 0.0165
43, 40, 0.0091
43, 41, 0.0051
43, 42, 0.0187
43, 43, 0.8085
44, 0, 0.0159
44, 1, 0.0322
44, 2, 0.0123
44, 3, 0.0112
44, 4, 0.0075
44, 5, 0.0139
44, 6, 0.0323
44, 7, 0.0113
44, 8, 0.0125
44, 9, 0.0209
44, 10, 0.0525
44, 11, 0.0169
44, 12, 0.0023
44, 13, 0.0114
44, 14, 0.0113
44, 15, 0.0483
44, 16, 0.0345
44, 17, 0.0303
44, 18, 0.0016
44, 19, 0.0062
44, 20, 0.0195
44, 21, 0.0005
44, 22, 0.007
44, 23, 0.072
44, 24, 0.0242
44, 25, 0.0102
44, 26, 0.0079
44, 27, 0.0233
44, 28, 0.0186
44, 29, 0.0018
44, 30, 0.0137
44, 31, 0.0214
44, 32, 0.0236
44, 33, 0.0213
44, 34, 0.016
44, 35, 0.0099
44, 36, 0.0303
44, 37, 0.0039
44, 38, 0.0089
44, 39, 0.0076
44, 40, 0.0116
44, 41, 0.0245
44, 42, 0.0231
44, 43, 0.045
44, 44, 0.8623
45, 0, 0.0267
45, 1, 0.0115
45, 2, 0.054
45, 3, 0.008
45, 4, 0.0308
45, 5, 0.0179
45, 6, 0.0062
45, 7, 0.0059
45, 8, 0.011
45, 9, 0.0053
45, 10, 0.0254
45, 11, 0.0095
45, 12, 0.054
45, 13, 0.0088
45, 14, 0.0219
45, 15, 0.0158
45, 16, 0.0028
45, 17, 0.0037
45, 18, 0.0221
45, 19, 0.0057
45, 20, 0.0156
45, 21, 0.0226
45, 22, 0.0111
45, 23, 0.0273
45, 24, 0.0256
45, 25, 0.0252
45, 26, 0.0157
45, 27, 0.2181
45, 28, 0.0024
45, 29, 0.0858
45, 30, 0.0318
45, 31, 0.0046
45, 32, 0.0895
45, 33, 0.0116
45, 34, 0.0324
45, 35, 0.0033
45, 36, 0.0892
45, 37, 0.0054
45, 38, 0.0562
45, 39, 0.0695
45, 40, 0.3124
45, 41, 0.0155
45, 42, 0.1349
45, 43, 0.0175
45, 44, 0.0284
45, 45, 0.8531
46, 0, 0.024
46, 1, 0.0533
46, 2, 0.0169
46, 3, 0.0202
46, 4, 0.0099
46, 5, 0.0315
46, 6, 0.0106
46, 7, 0.0147
46, 8, 0.0208
46, 9, 0.0104
46, 10, 0.0768
46, 11, 0.0271
46, 12, 0.0008
46, 13, 0.0187
46, 14, 0.0494
46, 15, 0.0404
46, 16, 0.0041
46, 17, 0.0577
46, 18, 0.0067
46, 19, 0.0281
46, 20, 0.0371
46, 21, 0.0026
46, 22, 0.0309
46, 23, 0.1001
46, 24, 0.0122
46, 25, 0.0046
46, 26, 0.0163
46, 27, 0.0246
46, 28, 0.012
46, 29, 0.0076
46, 30, 0.0232
46, 31, 0.0836
46, 32, 0.0803
46, 33, 0.0129
46, 34, 0.005
46, 35, 0.0292
46, 36, 0.0399
46, 37, 0.0226
46, 38, 0.0404
46, 39, 0.0667
46, 40, 0.0801
46, 41, 0.1382
46, 42, 0.0887
46, 43, 0.0135
46, 44, 0.1323
46, 45, 0.1407
46, 46, 0.8475
47, 0, 0.0237
47, 1, 0.0132
47, 2, 0.0489
47, 3, 0.0281
47, 4, 0.0101
47, 5, 0.0107
47, 6, 0.0061
47, 7, 0.0077
47, 8, 0.0087
47, 9, 0.0028
47, 10, 0.1027
47, 11, 0.0143
47, 12, 0.0429
47, 13, 0.0021
47, 14, 0.0032
47, 15, 0.0376
47, 16, 0.0036
47, 17, 0.0072
47, 18, 0.0073
47, 19, 0.0194
47, 20, 0.0091
47, 21, 0.024
47, 22, 0.0145
47, 23, 0.0384
47, 24, 0.0289
47, 25, 0.0209
47, 26, 0.011
47, 27, 0.1475
47, 28, 0.0015
47, 29, 0.0072
47, 30, 0.0072
47, 31, 0.0202
47, 32, 0.0098
47, 33, 0.0086
47, 34, 0.0832
47, 35, 0.004
47, 36, 0.0701
47, 37, 0.0053
47, 38, 0.0294
47, 39, 0.0047
47, 40, 0.0338
47, 41, 0.0298
47, 42, 0.0215
47, 43, 0.0827
47, 44, 0.0989
47, 45, 0.1332
47, 46, 0.0639
47, 47, 0.8287
48, 0, 0.0514
48, 1, 0.0715
48, 2, 0.0367
48, 3, 0.0806
48, 4, 0.2302
48, 5, 0.0911
48, 6, 0.2539
48, 7, 0.0865
48, 8, 0.0574
48, 9, 0.0402
48, 10, 0.004
48, 11, 0.1261
48, 12, 0.0899
48, 13, 0.1412
48, 14, 0.0881
48, 15, 0.0192
48, 16, 0.0378
48, 17, 0.0342
48, 18, 0.2542
48, 19, 0.0297
48, 20, 0.0678
48, 21, 0.0874
48, 22, 0.0228
48, 23, 0.0201
48, 24, 0.0846
48, 25, 0.1504
48, 26, 0.1293
48, 27, 0.0324
48, 28, 0.1407
48, 29, 0.0956
48, 30, 0.0331
48, 31, 0.0838
48, 32, 0.0457
48, 33, 0.2474
48, 34, 0.0271
48, 35, 0.03
48, 36, 0.0051
48, 37, 0.0973
48, 38, 0.0393
